Date,Open,High,Low,Close,Adj Close,Volume,Quarter
1/2/20,17.24,17.35,16.799999,17.030001,17.030001,706100,1
1/3/20,16.959999,17.33,16.82,17.17,17.17,594400,1
1/6/20,17.15,17.950001,16.98,17.690001,17.690001,1261700,1
1/7/20,17.67,17.849001,17.299999,17.67,17.67,565900,1
1/8/20,17.65,18,17.5,17.780001,17.780001,543600,1
1/9/20,18.120001,18.120001,17,17.02,17.02,922000,1
1/10/20,17.26,17.639999,17.1,17.48,17.48,653500,1
1/13/20,17.700001,18.540001,17.629999,18.360001,18.360001,839100,1
1/14/20,18.52,18.85,18.110001,18.700001,18.700001,775100,1
1/15/20,18.700001,19.299999,18.700001,18.85,18.85,1229200,1
1/16/20,19.110001,19.24,18.639999,18.959999,18.959999,700400,1
1/17/20,19.139999,19.299999,18.4,18.6,18.6,542700,1
1/21/20,18.559999,18.9,18,18,18,635700,1
1/22/20,18.190001,18.49,17.98,18.049999,18.049999,526500,1
1/23/20,18.049999,18.18,17.76,18.17,18.17,407100,1
1/24/20,18.18,18.68,17.719999,17.77,17.77,648900,1
1/27/20,17.34,17.860001,17.02,17.82,17.82,666400,1
1/28/20,17.77,18.129999,17.629999,18.08,18.08,481600,1
1/29/20,18.190001,18.27,17.59,17.59,17.59,451800,1
1/30/20,17.91,18.370001,17.662001,18.32,18.32,595300,1
1/31/20,18.309999,18.35,17.74,17.860001,17.860001,537800,1
2/3/20,18,18.190001,17.52,17.690001,17.690001,640300,1
2/4/20,17.9,18.395,17.77,17.93,17.93,964500,1
2/5/20,18.16,18.294001,17.65,18,18,1161700,1
2/6/20,18,18.049999,17.719999,17.77,17.77,545100,1
2/7/20,17.879999,18.344999,17.799999,18.17,18.17,595400,1
2/10/20,18.23,19.200001,18.1,18.34,18.34,1358500,1
2/11/20,18.41,19.23,18.360001,18.370001,18.370001,1455900,1
2/12/20,18.549999,18.603001,17.549999,17.82,17.82,1429900,1
2/13/20,17.75,18.209999,17.719999,18.07,18.07,1715500,1
2/14/20,18.459999,18.700001,17.219999,17.75,17.75,4739900,1
2/18/20,17.700001,17.92,17.24,17.5,17.5,2756500,1
2/19/20,17.450001,18.23,17.35,18.01,18.01,7996700,1
2/20/20,18.15,21.35,18.1,20.299999,20.299999,10976200,1
2/21/20,20.299999,21.35,20.299999,21.02,21.02,3427200,1
2/24/20,19.75,20.48,19.27,19.809999,19.809999,2941200,1
2/25/20,19.91,20.440001,19,20.290001,20.290001,4154000,1
2/26/20,20.200001,22.690001,20.02,22.110001,22.110001,7309000,1
2/27/20,20.65,22.52,20.51,21.940001,21.940001,5353700,1
2/28/20,21.030001,21.790001,19.83,21.299999,21.299999,3931200,1
3/2/20,21.690001,22.08,20.379999,22.08,22.08,3115200,1
3/3/20,22.33,22.4,21,22.08,22.08,2232100,1
3/4/20,22.35,23.42,22.09,22.700001,22.700001,3042500,1
3/5/20,22.18,25.02,22.1,23.35,23.35,4730900,1
3/6/20,22.77,23.290001,21.299999,22.77,22.77,3489500,1
3/9/20,21.25,22.26,20.4,20.74,20.74,2971100,1
3/10/20,21.530001,21.959999,19.531,21.110001,21.110001,2776100,1
3/11/20,20.85,21.34,20,20.59,20.59,1768100,1
3/12/20,19.1,19.495001,17.799999,19.16,19.16,2996100,1
3/13/20,20,20.097,17.6,19.059999,19.059999,2837900,1
3/16/20,16.59,17.49,15.05,15.92,15.92,3015300,1
3/17/20,16.360001,18.9,15.87,18.690001,18.690001,3287200,1
3/18/20,17.76,20.75,17.41,19.700001,19.700001,3438700,1
3/19/20,19.799999,23.18,19.440001,20.690001,20.690001,2679300,1
3/20/20,20.85,22.68,20.52,21.719999,21.719999,2468500,1
3/23/20,20.93,22.139999,19.530001,21.41,21.41,2276500,1
3/24/20,22.040001,22.5,21.209999,22.41,22.41,2577800,1
3/25/20,22.059999,23,21.23,21.66,21.66,2660900,1
3/26/20,21.700001,22.209999,20.83,21.6,21.6,2290300,1
3/27/20,20.959999,22.485001,20.41,21.959999,21.959999,2787400,1
3/30/20,22.1,24.09,21.209999,23.889999,23.889999,3945300,1
3/31/20,24.16,26.280001,22.809999,23.48,23.48,5566200,1
4/1/20,22.9,25.860001,22.18,24.120001,24.120001,3667800,2
4/2/20,23.99,23.99,22.18,23.059999,23.059999,2736900,2
4/3/20,22.93,24.200001,22.67,24.08,24.08,1917800,2
4/6/20,24.5,24.51,23,23.639999,23.639999,2298400,2
4/7/20,24,24.1,22.4,22.799999,22.799999,1769600,2
4/8/20,23.02,23.200001,22.5,22.84,22.84,2085900,2
4/9/20,23,23.08,21.18,21.18,21.18,3297800,2
4/13/20,21.35,23.84,21.309999,23.620001,23.620001,4283400,2
4/14/20,23.200001,24,22.542,22.91,22.91,3257300,2
4/15/20,22.91,23.98,22.51,23.889999,23.889999,2231400,2
4/16/20,24,25.9,23.9,25.42,25.42,3912900,2
4/17/20,25,25,23.629999,24.83,24.83,5107000,2
4/20/20,25,27.59,24.84,26.18,26.18,6178300,2
4/21/20,26.25,26.5,23.02,23.940001,23.940001,5186300,2
4/22/20,24.66,25.25,24,24.610001,24.610001,3103800,2
4/23/20,24.58,25.25,23.620001,23.73,23.73,2432600,2
4/24/20,23.42,24.129999,23.24,23.280001,23.280001,3521200,2
4/27/20,23.91,24.780001,23.549999,24.469999,24.469999,2338200,2
4/28/20,24.5,24.75,23,23.469999,23.469999,7241500,2
4/29/20,23.469999,23.99,22.5,23.780001,23.780001,6896400,2
4/30/20,23.82,24.559,23.35,23.559999,23.559999,2474600,2
5/1/20,23.17,23.73,22.35,22.84,22.84,1911000,2
5/4/20,22.879999,23.809999,22.530001,23.67,23.67,2041600,2
5/5/20,24.41,24.709999,23.82,24.51,24.51,2034800,2
5/6/20,24.700001,25.25,24.26,24.950001,24.950001,2177400,2
5/7/20,26.809999,29.98,26.17,29.52,29.52,10519600,2
5/8/20,26.76,27.1,25.030001,26.26,26.26,12436000,2
5/11/20,26.379999,28.42,26.379999,28.120001,28.120001,5762000,2
5/12/20,28.120001,30.24,27.636,28.790001,28.790001,10381900,2
5/13/20,28.290001,28.9,26.82,27.870001,27.870001,7820400,2
5/14/20,27.4,28.049999,27.200001,28.02,28.02,3254700,2
5/15/20,28.02,30.780001,27.82,29.49,29.49,9398000,2
5/18/20,28.280001,29.799999,27.700001,28.07,28.07,4101000,2
5/19/20,28.08,29.225,27.9,28.040001,28.040001,2294500,2
5/20/20,28,28.129999,26.52,27.549999,27.549999,5971700,2
5/21/20,27.82,28.35,27.17,28.040001,28.040001,4725700,2
5/22/20,28.049999,28.809999,27.51,28.26,28.26,3014600,2
5/26/20,28.84,28.84,27.51,28.09,28.09,6291800,2
5/27/20,27.85,28.200001,25.85,28.190001,28.190001,6759200,2
5/28/20,28.25,28.799999,27.92,28.1,28.1,2458200,2
5/29/20,28,29.219999,27.940001,29.07,29.07,4136300,2
6/1/20,29.139999,30.190001,29.01,30.049999,30.049999,2772700,2
6/2/20,30.120001,30.59,28.93,30.200001,30.200001,3475400,2
6/3/20,30.48,30.5,29.280001,29.379999,29.379999,3597100,2
6/4/20,29.049999,29.15,28.129999,28.469999,28.469999,3556900,2
6/5/20,28.15,29.42,27.290001,29.139999,29.139999,2619000,2
6/8/20,29.49,29.49,28.344999,29.17,29.17,2697800,2
6/9/20,29,29.059999,28.139999,28.719999,28.719999,3777100,2
6/10/20,28.790001,29.66,28.52,29.4,29.4,4676800,2
6/11/20,28.5,29.65,27.923,28.5,28.5,3928600,2
6/12/20,29.1,29.51,28.1,28.82,28.82,2362000,2
6/15/20,29,31.92,28.809999,30.98,30.98,12592200,2
6/16/20,31.5,31.98,30.309999,31.65,31.65,6937900,2
6/17/20,32.099998,36,31.799999,35.799999,35.799999,16244300,2
6/18/20,36.139999,37.290001,35.41,36.73,36.73,9941900,2
6/19/20,37.75,38.48,35.720001,36,36,14810600,2
6/22/20,36.32,37.400002,35.82,37,37,5596500,2
6/23/20,37.66,37.66,34.82,35.400002,35.400002,10991700,2
6/24/20,35.389999,36.77,34.051998,35,35,5203200,2
6/25/20,35.419998,36.889999,34.610001,36,36,6054800,2
6/26/20,36,37.061001,34.82,35.529999,35.529999,12429400,2
6/29/20,35.34,35.630001,33.23,35.110001,35.110001,4920900,2
6/30/20,35.279999,36.040001,34.830002,35.950001,35.950001,6741500,2
7/1/20,35.950001,37.040001,34.994999,36.93,36.93,4724500,3
7/2/20,37.310001,37.349998,36.279999,36.470001,36.470001,4533300,3
7/6/20,37.34,39.240002,37.07,38.34,38.34,6518200,3
7/7/20,38.279999,38.389999,37.18,37.91,37.91,5276100,3
7/8/20,38.34,38.52,37.860001,38.400002,38.400002,4748300,3
7/9/20,39.029999,40.154999,37.66,39.73,39.73,6852200,3
7/10/20,42.110001,42.597,39.41,40.080002,40.080002,9081600,3
7/13/20,40.75,41.09,36.119999,36.75,36.75,10564100,3
7/14/20,36.68,37.529999,34.459999,36.75,36.75,8081200,3
7/15/20,36.209999,36.580002,35.119999,36.119999,36.119999,4727300,3
7/16/20,35.610001,35.838001,34.549999,35.099998,35.099998,3540100,3
7/17/20,36.049999,37.450001,35.349998,37.02,37.02,5960200,3
7/20/20,37,38.599998,36.82,38.369999,38.369999,5154400,3
7/21/20,38.98,39.119999,37.810001,38.18,38.18,3881800,3
7/22/20,38.93,39.049999,37.810001,38.040001,38.040001,2516100,3
7/23/20,38.32,38.580002,35.919998,36.43,36.43,3144900,3
7/24/20,35.23,36.455002,35,35.720001,35.720001,3002900,3
7/27/20,36.490002,37.689999,36.16,37.360001,37.360001,2721700,3
7/28/20,38.689999,38.689999,37.580002,37.650002,37.650002,4678900,3
7/29/20,38.490002,39.080002,37.82,38.700001,38.700001,2923100,3
7/30/20,38.360001,41.5,38.360001,41.130001,41.130001,5678500,3
7/31/20,42,42.060001,40.209999,41.619999,41.619999,5364300,3
8/3/20,42.290001,42.84,41.860001,42.509998,42.509998,6993300,3
8/4/20,43.099998,43.150002,41.279999,42.310001,42.310001,4517300,3
8/5/20,42.080002,42.75,41.560001,42.490002,42.490002,3851900,3
8/6/20,41.84,42.41,40,41.349998,41.349998,8043100,3
8/7/20,41,45.279999,39.616001,40.060001,40.060001,12303400,3
8/10/20,39.540001,39.540001,36.040001,36.990002,36.990002,14591200,3
8/11/20,36.849998,38.150002,36.040001,37.810001,37.810001,7826800,3
8/12/20,38.099998,40.07,38.029999,38.860001,38.860001,9585100,3
8/13/20,39.709999,39.709999,38.209999,38.849998,38.849998,4062700,3
8/14/20,38.950001,39.790001,38.169998,38.5,38.5,3042400,3
8/17/20,37.73,39.939999,37.689999,39.919998,39.919998,7369900,3
8/18/20,40.400002,40.470001,39.459999,40.060001,40.060001,4394800,3
8/19/20,39.93,40.25,38.259998,39.290001,39.290001,3764700,3
8/20/20,39.279999,40.444,39.119999,40.310001,40.310001,3953500,3
8/21/20,40.450001,40.490002,38.900002,38.919998,38.919998,3271700,3
8/24/20,38.41,38.839001,37.23,38.09,38.09,5468100,3
8/25/20,37.700001,39.040001,37.310001,39.029999,39.029999,3491000,3
8/26/20,39.299999,40.369999,38.959999,39.900002,39.900002,4522500,3
